SOHO Sun-filled room in opposite of Tadao Ando's,22309428,Chewie,Manhattan,Nolita,40.72112,-73.99548,Private room,116,1,16,2,26,16
"Bright 2 Bed Brooklyn Loft - Cool, Cute & Comfy!",14947424,Katie,Brooklyn,Bedford-Stuyvesant,40.69016,-73.95905,Entire home/apt,350,2,16,1,6,14
New Room Near Manhattan/LGA,203890641,Vincenzo,Queens,Ditmars Steinway,40.77532,-73.91065,Private room,77,2,43,6,58,31
Bright Artsy Eclectic 1 Bedroom,128579948,Giampiero,Manhattan,Upper East Side,40.76577,-73.96562,Entire home/apt,425,3,8,5,250,8
Furnished Room in #765: Upper West Side,305240193,June,Manhattan,Upper West Side,40.799862,-73.96603,Private room,101,30,0,222,364,0
Private Studio in Bushwick close to L train,221913542,Zuleyka,Brooklyn,Bushwick,40.69115,-73.90454,Entire home/apt,98,1,56,9,186,38
Prestige Front View #03 - Furnished Studio Rentals,395671107,Esplanade 99,Manhattan,Upper West Side,40.79555,-73.97197,Private room,76,30,1,23,71,0
Modern Furnished Private Room in Brownstone Apt.,25001454,Bobby,Manhattan,Washington Heights,40.84401,-73.93395,Private room,85,1,5,1,365,2
Romantic space in New York artistic best Bushwick!,308165996,Alex,Brooklyn,Bushwick,40.69634,-73.92873,Private room,120,2,6,4,0,6
Sweet BK penthouse,256972139,Nyota,Brooklyn,Bedford-Stuyvesant,40.69087,-73.93647,Entire home/apt,275,2,7,6,179,4
Fantastic Brownstone Apartment near Central Park,95303084,David,Manhattan,Upper West Side,40.78721,-73.97,Entire home/apt,225,4,25,8,194,25
Decent Stay #3,430092283,Chemaly,Brooklyn,Canarsie,40.64605,-73.90218,Private room,43,2,24,4,169,19
"Bright, Spacious 1BR Loft With Private Terrace",13023370,Andrew,Brooklyn,Williamsburg,40.71349,-73.94011,Entire home/apt,230,29,11,1,216,9
"Bright, Modern 1BR/2BA, near park",123097,Lindsay,Brooklyn,Williamsburg,40.71763,-73.95333,Entire home/apt,250,30,2,1,90,1
Guest RM w/ Private Bathroom & Shared Kitchen,62605071,Anna,Brooklyn,Coney Island,40.57592,-74.00083,Private room,65,2,20,6,231,18
Lovely 1-bedroom,,,,,,,,,,,,,
237863320,,Brooklyn,Bedford-Stuyvesant,40.69137,-73.94322,,151,1,0,,0,0,
Lovely Bedroom in Spacious Greenpoint Apartment,31589149,Jared,Brooklyn,Greenpoint,40.72217,-73.9399,Private room,129,2,31,1,117,27
1 bed located in the Bronx,430972148,Pedro,Manhattan,Marble Hill,40.87478,-73.90721,Entire home/apt,175,1,0,1,0,0
Nice cozy short stay.,351763192,Tarajee,Brooklyn,Brownsville,40.664177,-73.91159,Private room,43,1,0,2,349,0
Cafe Cluny- west 4th street studio,279775863,Daniella,Manhattan,West Village,40.73661,-74.00289,Entire home/apt,128,30,4,8,277,3
Private Top Specious room in Hollis.,430599829,Ahmed,Queens,Hollis,40.714424,-73.76155,Private room,30,30,4,4,170,4
"Private Studio with bathroom, kitchenette & patio",705199,Lin,Brooklyn,Boerum Hill,40.68252,-73.98032,Private room,78,28,15,2,15,10
Time sq javits center subway empire all close walk,102498043,Nathan,Manhattan,Hell's Kitchen,40.7577,-73.99196,Entire home/apt,237,1,57,1,320,42
Amazing 2 bedroom Apartment in NYC,393474028,Rogelia Jelyn,Manhattan,Hell's Kitchen,40.75422,-73.99423,Entire home/apt,145,30,1,9,151,0
Deluxe private room with a queen bed in Hollis.,430599829,Ahmed,Queens,Hollis,40.714424,-73.76155,Private room,31,30,5,4,136,4
Untitled at 3 Freeman - Studio Mini,158969505,Untitled,Manhattan,Lower East Side,40.72083,-73.99279,Entire home/apt,111,1,147,12,253,137
Clean and Conveniently Located,21462953,Harold,Manhattan,Hell's Kitchen,40.7623,-73.99814,Entire home/apt,239,4,14,1,7,13
Beautiful Modern Apt in University heights Bronx,162864084,Manuel,Bronx,University Heights,40.85734,-73.90805,Entire home/apt,111,2,35,1,172,17
Modern studio in the heart of SOHO,384532776,Nathan,Manhattan,SoHo,40.72705,-74.00373,Entire home/apt,120,30,4,47,340,3
Minimalistic luxury studio in Midtown Manhattan,423356160,Rainnie,Manhattan,Hell's Kitchen,40.75951,-73.99583,Entire home/apt,240,30,3,1,310,2
Lovely Private Bedroom in Brooklyn|Coliving Apt,430121024,SharedEasy,Brooklyn,Bushwick,40.68891,-73.91894,Private room,66,30,1,4,361,1
"Lovely 1 rental bedroom apartment in Queens - Woodside,  5 minutes away from the 7 Express and local train. 20 minutes from Manhattan, many supermarket options, bars and restaurants.",,,,,,,,,,,,,
bathroom,,430983788,Katerine,Queens,,40.74921,-73.90079,,100,2,0,1,363
The Devonshire / LVL1: LUX Xcape; subway@600 steps,430352020,Katherine,Queens,Jamaica Estates,40.71345,-73.78814,Entire home/apt,70,30,9,3,322,5
"New room w/ Large closet, HDTV room, #18",3223938,Eugene,Brooklyn,Bensonhurst,40.61009,-73.98147,Private room,28,90,0,394,217,0
Comfortable bedroom in Queens,120105664,Heidy,Queens,Woodside,40.74546,-73.91166,Private room,80,2,4,1,89,0
Lovely 1 bedroom rental in New York,430626948,Massara,Manhattan,East Harlem,40.8015,-73.93711,Private room,100,3,27,1,179,26
"Traveling Nurses Utilities, Driveway, Washer/Dryer",127112667,Rebecca,Bronx,Throgs Neck,40.82157,-73.80749,Entire home/apt,185,30,0,1,247,0
Comfortable Queen Room w/ Wi-Fi + Private Bathroom,208576158,Amir B,Queens,Jamaica,40.68702,-73.78482,Private room,150,1,15,1,64,13
king bed private bathroom close city airports,182523684,George,Queens,Middle Village,40.71569,-73.88681,Private room,61,2,11,4,150,7
Cozy studio in Brooklyn,9550049,Roman,Brooklyn,Windsor Terrace,40.65211,-73.97745,Entire home/apt,134,1,62,1,31,53
Gorgeous 1Br in the heart of NoMad,13905701,Artem,Manhattan,Midtown,40.74609,-73.98161,Entire home/apt,250,2,24,1,0,21
Sutton Place Sanctuary with Exec Office + Peloton,12533228,Rose,Manhattan,Midtown,40.75553,-73.96688,Entire home/apt,449,1,12,2,147,10
"Central AC, washer/dryer, exposed brick, room #107",3223938,Eugene,Queens,Ridgewood,40.70131,-73.90516,Private room,39,30,0,394,187,0
Modern private room in Bushwick house,41773438,Danny,Brooklyn,Bushwick,40.68709,-73.91164,Private room,73,1,41,3,47,35
Beautiful Large Private Studio with own entrance,108435759,Elzbieta,Queens,Elmhurst,40.73787,-73.86763,Entire home/apt,109,2,71,1,258,54
Deluxe King room at RIU Plaza Manhattan Times Sq,427922501,RIU Plaza,Manhattan,Theater District,40.758892,-73.98339,Private room,500,1,2,2,65,2
"Bright, Spacious East Village loft",16965049,Jennifer,Manhattan,NoHo,40.726444,-73.99362,Entire home/apt,375,5,0,2,38,0
Lovely travelers delight in Astoria,61846222,Lisa,Queens,Astoria,40.75547,-73.92606,Entire home/apt,133,1,60,1,134,49
Cozy Private Room in Residential Home,431018108,Nancy,Bronx,Clason Point,40.80853,-73.85394,Private room,62,5,28,3,364,28
KONSTANT KONFERENCE,137832740,Konstantino,Queens,Bayside,40.7654,-73.76845,Private room,249,1,7,1,178,4
Spacious 2BR/2BA in the heart of Bushwick,1674691,Marco,Brooklyn,Bushwick,40.69937,-73.92737,Entire home/apt,329,2,3,1,361,0
Cozy and charming NYC studio,1681142,Lourdes,Manhattan,Upper West Side,40.77443,-73.98065,Entire home/apt,180,30,1,1,363,1
The best location to stay in New York City.,390346114,Luis & Ana,Manhattan,Inwood,40.86641,-73.92633,Entire home/apt,109,3,24,5,124,20
Modern Garden Apartment,473974960,Chris,Manhattan,Washington Heights,40.83173,-73.94275,Entire home/apt,407,1,7,1,180,6
The best location to stay in New York City.,390346114,Luis & Ana,Manhattan,Inwood,40.86654,-73.92607,Entire home/apt,189,2,43,5,127,39
2 bedrooms of Alphabet City perfection,4352085,Joanna,Manhattan,East Village,40.72236,-73.98136,Entire home/apt,365,3,32,1,34,29
Cozy 3BR + 1BA near East Village,409039411,Tal,Manhattan,East Village,40.73021,-73.98187,Entire home/apt,328,3,66,2,36,46
1-bedroom Entire apartment in Astoria,196915362,Katy,Queens,Astoria,40.7725,-73.92077,Entire home/apt,120,5,5,2,11,5
Luxury Penthouse Bedroom Apartment with Terrace,201399118,Omelie,Queens,Jamaica,40.70585,-73.8031,Entire home/apt,126,2,22,1,0,1
Your Fort Green 3 bedroom Bohemian oasis,3829665,Sybil,Brooklyn,Fort Greene,40.68705,-73.97381,Entire home/apt,125,3,3,1,1,3
Lovely Private Bedroom near the Botanical Garden,51595867,Sheila,Brooklyn,Crown Heights,40.6665,-73.95569,Private room,79,2,44,2,216,41
